Symbol,Price_Tech,Volume,RSI,RSI_2,MACD_Line,MACD_Signal,ATR,SMA_5,SMA_50,SMA_200,ROC_12M,ROC_6M,Momentum_Vol_Scaled,Realized_Vol_60D,VaR 95,Max Drawdown,Sortino Ratio,Aroon Up,Aroon Down,Aroon Oscillator,Coppock Curve,Chandelier Exit,RS vs SPY,RS-MACD,Realized Slippage,Options IV Edge,CoVaR Proxy,shortName,Market Cap,sector,Price_Fund,Graham Num,Gordon Fair Value,Quality Score,Div Yield,P/E,Book Value,Beta,book_to_market,earnings_yield,quality_factor_score,low_vol_score,log_market_cap,DPS,Institutional Velocity,DPH,Leverage Distress Factor,Price,Macro Status,HMM_Risk_On_Probability,GARCH_Vol,Realized_Vol_Rank,True_IVR,VRP,Target_Days,ARIMA,MC_Target,MC_Lower,MC_Upper,Forecast_10,Forecast_30,Forecast_60,Forecast_90,Forecast_30_Prophet_Lower,Forecast_30_Prophet_Upper,Action Signal,Advice,Actionable Advice Signal,Kelly Target,Option Strategy,buyRange,sellRange,Strategy Explainer Notes,Edge Ratio,is_dividend_sustainable,eps_trailing,book_value,graham_number,position_size,stop_loss_pct,Relative_Strength,Entry_Price,MAE,MFE,open_risk,Portfolio_Heat,BF_Allocation,BF_Selection
CSWC,22.940000534057617,1620900.0,47.21844591448948,24.182503566174894,0.012523694327335022,0.02853548407918138,0.3877167554194542,23.04800033569336,23.206072998046874,21.35851424217224,0.0,0.0,0.0,,-0.016834733682085722,-0.15750764528193842,1.7858160298222552,76.0,16.000000000000004,35.71428571428571,0.49479594890847706,22.42606639964037,-0.013224478120968414,0.0383,,0.0786,0.0125,Capital Southwest Corporation,1425508352.0,Financial Services,22.94,23.38764577720468,7947.22,75.0,11.16,12.073685,16.689,0.745,0.7275064817189988,0.08282475482837262,0.8774599999999999,,21.07779432529668,0.0666,0.0161,2.0,0.403455,22.94,RISK ON,,0.1611319479317929,35.86450014846299,,-0.1454971041817929,60.0,23.918103211168148,23.974765967206505,20.663482314756074,28.011009804847994,23.12960379445718,23.44501028585127,23.918103211168148,24.39119613648364,23.37508942437781,24.744253934390187,RISK REDUCE,CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges.,"RISK REDUCE: CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges. (Regime: RISK ON, Trend: No Uptrend)",0.6206093905246524,Cash (Wait),Trim @ $23.13 | Stop @ $22.43,Sell Now @ market | Stop @ $22.43,"SCORE 20/100: +10pts: Favorable Macro Regime; +15pts: Undervalued vs Graham ($26.71); -25pts: Yield Trap Warning (Payout > 100%); -15pts: MACD Bearish Crossover; -15pts: Choppy Market via Aroon Oscillator (35.7) - High False Positive Risk; +10pts: Strong forecast projection (+2.2%); -10pts: Underperforming S&P 500 (RS: -0.01); +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=16.1%, Vol_Scalar=0.62); 0.0: RSI(2) 24.2 >= oversold threshold 10.0..
MACD ENV: RISK ON | Ticker: CSWC.
RISK FRAME: Sizing target 62.1% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: Defensive Covered Call - Sell near-the-money 15-day Call at strike $23.00 to buffer downward capital drag.
CRITICAL WARNINGS: Dividend Sustainability Failure, Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,0.0,1.9,16.689,26.710573748985624,10000.0,0.016834733682085722,-0.013224478120968414,,,,168.34733682085724,0.0217,-0.0,-0.0226
JEPI,56.060001373291016,3510200.0,52.67838202654136,61.27174258369206,0.06010725951042417,0.015272910158424835,0.44775023909178724,56.01000061035157,56.01918182373047,55.48465393066407,0.0,0.0,0.0,,-0.008093621850933852,-0.06684145273457377,1.4954798895949677,80.0,40.0,35.71428571428571,1.8771764365705694,55.41339587879239,-0.1434411452102659,0.1323,,0.0468,0.0081,JPMorgan Equity Premium Income,0.0,N/A,56.06,0.0,51106.5,60.0,8.45,27.467241,0.0,1.0,,0.03640700571273248,,,,0.03949999999999999,0.0,6.0,0.5,56.06,RISK ON,,0.08413521453153695,40.413637600690514,,-0.08314866179716196,60.0,57.00675889999277,57.04151929797606,53.169050656240046,60.67661654934473,56.21565869660386,56.58902516099056,57.212824604024206,57.54479474482169,54.65419474207221,56.18393165626853,BUY,Favorable setup. Scale in on minor intraday pullbacks.,"BUY: Favorable setup. Scale in on minor intraday pullbacks. (Regime: RISK ON, Trend: No Uptrend)",1.0,Cash (Wait),Buy Zone: $55.39 - $55.84,Sell Zone: $56.73 - $57.40 | Stop @ $55.41,"SCORE 55/100: +10pts: Favorable Macro Regime; -5pts: No Intrinsic Graham Value possible; +10pts: Sustainable Dividend; +10pts: MACD Bullish; -15pts: Choppy Market via Aroon Oscillator (35.7) - High False Positive Risk; +5pts: Moderate positive forecast (+0.9%); -10pts: Underperforming S&P 500 (RS: -0.14); +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=8.4%, Vol_Scalar=1.00); 0.0: Close 56.06 already back above SMA5 56.01 — mean-reversion move has already occurred, no fresh entry..
MACD ENV: RISK ON | Ticker: JEPI.
RISK FRAME: Sizing target 100.0% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: Cash Secured Put - Sell 45-day Put at strike $55.00 (delta-30) to acquire shares at deep discount.
CRITICAL WARNINGS: Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,1.0,0.0,0.0,0.0,10000.0,0.008093621850933852,-0.1434411452102659,,,,80.93621850933852,0.0217,-0.0,-0.0065
JLL,299.7799987792969,248100.0,50.17649939273735,74.23630794169667,-1.415896052238395,-2.5758478965786664,9.940719621357285,297.8320007324219,310.3457983398438,315.25779968261713,0.0,0.0,0.0,,-0.02703686359867508,-0.21887023698899585,0.9591255905509342,84.0,36.0,71.42857142857143,5.496117512085755,282.8212770104238,0.004977188279256861,1.3876,,0.1922,0.035,Jones Lang LaSalle Incorporated,13907866624.0,Real Estate,299.78,305.8802887270607,0.0,60.0,0.0,16.125874,157.804,1.293,0.5263993484439425,0.06201214272169062,0.157150006,,23.355720461169714,-0.045,-0.011,99.0,0.9107816666666667,299.78,RISK ON,,0.29261568039309244,21.222182359096134,,-0.2921174040259049,90.0,319.8946663004002,321.2918702161579,227.75215748892938,440.3780696653853,299.77999876677995,299.77999876677995,299.77999876677995,299.77999876677995,270.43196344511244,310.5076392119525,STRONG BUY,High-conviction entry. Intrinsic value ($256.92) and trend confirm accumulation.,"STRONG BUY: High-conviction entry. Intrinsic value ($256.92) and trend confirm accumulation. (Regime: RISK ON, Trend: Uptrend)",0.3417451855815196,Cash (Wait),Buy Zone: $284.79 - $299.78,Sell Zone: $314.69 - $329.60 | Stop @ $282.82,"SCORE 75/100: +10pts: Favorable Macro Regime; -10pts: Overvalued vs Graham ($256.92); +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (71.4); -10pts: Forecast suggests structural price erosion; +10pts: Outperforming S&P 500 (RS: 0.00); +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=29.3%, Vol_Scalar=0.34); 0.0: Downtrend (Close 299.78 <= SMA200 315.26) — RSI(2) mean reversion long disabled..
MACD ENV: RISK ON | Ticker: JLL.
RISK FRAME: Sizing target 34.2% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: OTM Covered Call (delta-15) - Sell 30-day Call at strike $315.00 to capture premium while allowing upside.
CRITICAL WARNINGS: Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,1.0,18.59,157.804,256.915293628075,10000.0,0.02703686359867508,0.004977188279256861,,,,270.3686359867508,0.0217,-0.0,-0.0125
TXNM,57.470001220703125,1237600.0,39.89208531039605,88.06573658733163,-0.514637078757552,-0.46892119790091163,0.4558205595120911,57.13800048828126,58.646100540161136,57.699919052124024,0.0,0.0,0.0,,-0.0045660014487134805,-0.050941472807935956,1.3025871818024588,24.0,84.0,-71.42857142857143,-6.715605695337917,58.303738991955186,-0.170041463592095,-0.1186,,0.0768,0.0008,"TXNM Energy, Inc.",6362345984.0,Utilities,57.47,31.487611849741796,8067.36,65.0,2.94,40.758865,31.252,0.166,0.5437967661820187,0.024534539909293353,0.206600002,,22.573663011693128,-0.0156,-0.0044,13.0,0.0,57.47,RISK ON,,0.09911769300163688,100.0,,-0.042858255501636876,90.0,58.464717172593424,58.5684434337523,55.751684221206645,61.4404224449993,57.57532384125841,57.797672174092156,58.13119467334279,58.464717172593424,57.247868633753825,58.40224296403638,RISK REDUCE,CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges.,"RISK REDUCE: CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges. (Regime: RISK ON, Trend: No Uptrend)",1.0,"Buy to Open Put Debit Spread: Long Put K=57.50 @ $0.29, Short Put K=57.00 @ $0.12 (Net Premium: $-0.16)",Trim @ $57.70 | Stop @ $58.30,Sell Now @ market | Stop @ $58.30,"SCORE 0/100: +10pts: Favorable Macro Regime; -10pts: Overvalued vs Graham ($31.49); -25pts: Yield Trap Warning (Payout > 100%); -15pts: MACD Bearish Crossover; -15pts: Strong Aroon Oscillator Downtrend (-71.4); +5pts: Moderate positive forecast (+0.6%); -10pts: Underperforming S&P 500 (RS: -0.17); +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=9.9%, Vol_Scalar=1.00); 0.0: Downtrend (Close 57.47 <= SMA200 57.70) — RSI(2) mean reversion long disabled..
MACD ENV: RISK ON | Ticker: TXNM.
RISK FRAME: Sizing target 100.0% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: Protective Collar - Purchase protective Put at strike $51.00 financed by selling near-the-money Covered Calls.
CRITICAL WARNINGS: Dividend Sustainability Failure, Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,0.0,1.41,31.252,31.487611849741796,10000.0,0.0045660014487134805,-0.170041463592095,,,,45.6600144871348,0.0217,0.0,-0.008
JPM,333.45001220703125,7896400.0,66.61484479191873,66.58458291549637,7.6456443577765185,5.386602274692536,7.232027106862428,331.55000610351567,310.1684014892578,305.7580865478516,0.0,0.0,0.0,,-0.023416521397971228,-0.15471736614686005,1.2899236795229059,88.0,7.9999999999999964,78.57142857142857,17.423937690400656,317.1210725280383,-0.024415794204159263,3.3857,,0.1229,0.0234,JP Morgan Chase & Co.,893483089920.0,Financial Services,333.45,214.9823314658672,65448.75,60.0,1.8,15.97748,128.379,1.0,0.38500222300283565,0.0625880927405323,0.60206001,,27.518393245703678,-0.026999999999999996,-0.0023,33.0,0.5,333.45,RISK ON,,0.2619697354878239,76.49231606943182,,-0.2618697354878239,60.0,345.7902361903212,349.8673065975708,289.77789444772935,414.2531436778239,335.0878970688444,339.3677918655217,345.7902361903212,352.2126805356196,316.4311471077801,336.17640919227705,STRONG BUY,High-conviction entry. Intrinsic value ($245.53) and trend confirm accumulation.,"STRONG BUY: High-conviction entry. Intrinsic value ($245.53) and trend confirm accumulation. (Regime: RISK ON, Trend: Uptrend)",0.38172348349242013,Cash (Wait),Buy Zone: $316.78 - $333.45,Sell Zone: $344.30 - $355.15 | Stop @ $317.12,"SCORE 85/100: +10pts: Favorable Macro Regime; -10pts: Overvalued vs Graham ($245.53); +10pts: Sustainable Dividend; +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (78.6); +10pts: Strong forecast projection (+1.8%); -10pts: Underperforming S&P 500 (RS: -0.02); +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=26.2%, Vol_Scalar=0.38); 0.0: Close 333.45 already back above SMA5 331.55 — mean-reversion move has already occurred, no fresh entry..
MACD ENV: RISK ON | Ticker: JPM.
RISK FRAME: Sizing target 38.2% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: OTM Covered Call (delta-15) - Sell 30-day Call at strike $345.00 to capture premium while allowing upside.
CRITICAL WARNINGS: Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,1.0,20.87,128.379,245.5271246217004,10000.0,0.023416521397971228,-0.024415794204159263,,,,234.1652139797123,0.0217,-0.0,-0.0226
PK,14.34000015258789,4740600.0,67.59810197052154,15.757990801584306,0.7242171335465688,0.7667394360631106,0.43482796346408414,14.51200008392334,12.287000007629395,10.993662519454954,0.0,0.0,0.0,,-0.025630797969580326,-0.1707932484289178,3.3211749134000694,84.0,0.0,71.42857142857143,23.20034637309795,13.689074449929791,0.3162236395064424,0.1913,,0.1637,0.035,Park Hotels & Resorts Inc.,2887528704.0,Real Estate,14.34,1.903948528716047,11494.23,60.0,6.97,0.0,15.344,1.367,1.0700138984105265,,0.046439999999999995,,21.783666853524135,0.0247,-0.0128,2.0,0.7777233333333333,14.34,RISK ON,,0.32227119228591034,56.651555065204306,,-0.2910115047859103,90.0,16.145653261630365,16.792371070270875,11.970263126107206,22.432303056455186,14.544807798620223,14.945419487620056,15.546337021119804,16.14725455461955,14.653300018825773,15.909442647052733,BUY,Favorable setup. Scale in on minor intraday pullbacks.,"BUY: Favorable setup. Scale in on minor intraday pullbacks. (Regime: RISK ON, Trend: Uptrend)",0.3102976697690146,Cash (Wait),Buy Zone: $13.69 - $14.12,Sell Zone: $14.99 - $15.64 | Stop @ $13.69,"SCORE 60/100: +10pts: Favorable Macro Regime; -5pts: No Intrinsic Graham Value possible; -25pts: Yield Trap Warning (Payout > 100%); -15pts: MACD Bearish Crossover; +15pts: Strong Aroon Oscillator Uptrend (71.4); +10pts: Strong forecast projection (+4.2%); +10pts: Outperforming S&P 500 (RS: 0.32); +10pts: High Sortino (3.32); +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=32.2%, Vol_Scalar=0.31); 0.0: RSI(2) 15.8 >= oversold threshold 10.0..
MACD ENV: RISK ON | Ticker: PK.
RISK FRAME: Sizing target 31.0% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: OTM Covered Call (delta-15) - Sell 30-day Call at strike $15.00 to capture premium while allowing upside.
CRITICAL WARNINGS: Dividend Sustainability Failure, Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,0.0,-1.09,15.344,0.0,10000.0,0.025630797969580326,0.3162236395064424,,,,256.3079796958033,0.0217,-0.0,-0.0125
SPG,222.14999389648438,2465200.0,68.82331347388576,94.9215441805539,4.317157811453853,3.6460884939254874,4.3184003684900745,214.9300018310547,204.31760528564453,187.10873512268066,0.0,0.0,0.0,,-0.01659793113246429,-0.11539198161389172,3.7299155816403347,100.0,4.0000000000000036,100.0,12.440458179066079,210.03872003339742,0.2573733615151114,1.5824,,0.1173,0.0223,"Simon Property Group, Inc.",84412473344.0,Real Estate,222.15,82.52040559688858,94428.8,60.0,3.96,15.45929,14.858,1.346,0.06688273804017927,0.06468602374365187,1.5696599999999998,,25.158981016064708,-0.005400000000000002,0.0,23.0,0.23754500000000003,222.15,RISK ON,,0.23289104934540386,88.25385882758238,,-0.22975608059540387,90.0,247.84807044577406,256.2231419168203,212.30740669569377,308.4765309896205,224.7207514821095,230.4375636963208,239.01278201763776,247.5880003389547,217.09238352620164,228.03755883550576,STRONG BUY,High-conviction entry. Intrinsic value ($69.31) and trend confirm accumulation.,"STRONG BUY: High-conviction entry. Intrinsic value ($69.31) and trend confirm accumulation. (Regime: RISK ON, Trend: Uptrend)",0.42938532966841786,Cash (Wait),Buy Zone: $211.04 - $222.15,Sell Zone: $228.63 - $235.11 | Stop @ $210.04,"SCORE 100/100: +10pts: Favorable Macro Regime; -10pts: Overvalued vs Graham ($69.31); +10pts: Sustainable Dividend; +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (100.0); +10pts: Strong forecast projection (+3.7%); +10pts: Outperforming S&P 500 (RS: 0.26); +10pts: High Sortino (3.73); +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=23.3%, Vol_Scalar=0.43); 0.0: Close 222.15 already back above SMA5 214.93 — mean-reversion move has already occurred, no fresh entry..
MACD ENV: RISK ON | Ticker: SPG.
RISK FRAME: Sizing target 42.9% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: OTM Covered Call (delta-15) - Sell 30-day Call at strike $229.00 to capture premium while allowing upside.
CRITICAL WARNINGS: Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,1.0,14.37,14.858,69.31062580874595,10000.0,0.01659793113246429,0.2573733615151114,,,,165.9793113246429,0.0217,-0.0,-0.0125
TWO,12.369999885559082,724200.0,56.66553313055533,79.94220933921925,0.045605813545487095,0.0770451673900635,0.12566573287850327,12.303999900817871,12.072200012207032,10.538623628616334,0.0,0.0,0.0,,-0.027440699741595877,-0.3680851498546874,1.352029980264218,0.0,76.0,21.42857142857143,-1.389704956409408,12.117455093952941,0.13431270133582662,0.0104,,-0.2462,0.0286,Two Harbors Investment Corp,1299423104.0,Real Estate,12.37,1.594232573999164,1086.68,60.0,10.99,0.0,10.758,1.042,0.869684780142383,,0.09925000000000003,,20.985186236766715,0.0649,0.0114,12.0,0.20137333333333332,12.37,RISK ON,,0.07321034590135245,1.9668265516517773,,-0.060700470901352443,90.0,13.534488469992588,13.701769685083203,9.05672755111432,19.78072454250052,12.498362270204156,12.757280479452874,13.145657793325949,13.534035107199024,12.628894238735965,14.397253399985665,HOLD,Consolidation pattern. Hold existing exposure; harvest dividends. Do not allocate fresh capital.,"HOLD: Consolidation pattern. Hold existing exposure; harvest dividends. Do not allocate fresh capital. (Regime: RISK ON, Trend: No Uptrend)",1.0,Cash (Wait),Hold Range: $12.12 - $12.62,Sell Zone: $12.56 - $12.76 | Stop @ $12.12,"SCORE 45/100: +10pts: Favorable Macro Regime; -5pts: No Intrinsic Graham Value possible; +10pts: Sustainable Dividend; -15pts: MACD Bearish Crossover; -15pts: Choppy Market via Aroon Oscillator (21.4) - High False Positive Risk; +10pts: Strong forecast projection (+3.1%); +10pts: Outperforming S&P 500 (RS: 0.13); -10pts: Steep Drawdown (-36.8%); +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=7.3%, Vol_Scalar=1.00); 0.0: Close 12.37 already back above SMA5 12.30 — mean-reversion move has already occurred, no fresh entry..
MACD ENV: RISK ON | Ticker: TWO.
RISK FRAME: Sizing target 100.0% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: Iron Condor / Strangle - Sell credit spreads at $12.00 Put and $13.00 Call to capture volatility.
CRITICAL WARNINGS: Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,1.0,-3.81,10.758,0.0,10000.0,0.027440699741595877,0.13431270133582662,,,,274.40699741595876,0.0217,-0.0,-0.0125
KRO,6.559999942779541,364800.0,43.451199921235236,26.338833887412207,-0.05606117056087534,-0.026856442645801573,0.3486214544758926,6.730000019073486,6.914183826446534,5.70819712638855,0.0,0.0,0.0,,-0.049716074669111106,-0.3444943519613763,0.7785507389765689,80.0,100.0,-35.71428571428572,-5.3846169616979545,6.5348184801613325,-0.13458206292702712,-0.0225,,0.3217,0.048,Kronos Worldwide Inc,754748480.0,Basic Materials,6.56,0.0,57.73,65.0,3.08,0.0,6.475,0.965,0.9870426957162546,,-0.13435,,20.441895112637305,-0.014199999999999997,0.0052,4.0,0.44384666666666667,6.56,RISK ON,,0.4925197041320422,39.92435265618617,,-0.4300103291320422,60.0,6.6989063586822475,6.704477116460173,4.328334831102066,9.650304324959185,6.591754384098479,6.634643647832277,6.6989063586822475,6.76316906854035,7.191471214376753,8.250863181306515,RISK REDUCE,CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges.,"RISK REDUCE: CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges. (Regime: RISK ON, Trend: No Uptrend)",0.20303756207323326,"Buy to Open Put Debit Spread: Long Put K=6.50 @ $0.02, Short Put K=6.50 @ $0.02 (Net Premium: $-0.00)",Trim @ $6.73 | Stop @ $6.53,Sell Now @ market | Stop @ $6.53,"SCORE 0/100: +10pts: Favorable Macro Regime; -5pts: No Intrinsic Graham Value possible; +10pts: Sustainable Dividend; -15pts: MACD Bearish Crossover; -15pts: Choppy Market via Aroon Oscillator (-35.7) - High False Positive Risk; +5pts: Moderate positive forecast (+1.1%); -10pts: Underperforming S&P 500 (RS: -0.13); -10pts: Steep Drawdown (-34.4%); -20pts: Extreme GARCH Volatility (49.3%) - High Tail Risk; +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=49.3%, Vol_Scalar=0.20); 0.0: RSI(2) 26.3 >= oversold threshold 10.0..
MACD ENV: RISK ON | Ticker: KRO.
RISK FRAME: Sizing target 20.3% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: Protective Collar - Purchase protective Put at strike $5.00 financed by selling near-the-money Covered Calls.
CRITICAL WARNINGS: Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,1.0,-1.16,6.475,0.0,10000.0,0.049716074669111106,-0.13458206292702712,,,,497.16074669111106,0.0217,0.0,-0.0182
GSBD,9.359999656677246,1231100.0,56.76880898506585,48.55433511947345,0.055813084685091496,0.007723758825726613,0.1916289126719902,9.323999977111818,9.309199981689453,9.149303379058837,0.0,0.0,0.0,,-0.020449876620201656,-0.1841214152065787,-0.1929228935692216,96.0,4.0000000000000036,71.42857142857143,7.203121517450659,8.926461351896107,-0.2678645207762288,0.0467,,0.1192,0.0131,"Goldman Sachs BDC, Inc.",1053646400.0,Financial Services,9.36,11.591238070197678,1391.12,75.0,10.5,14.625,12.17,0.64,1.300213768145621,0.06837606837606838,0.759070042,,20.77552274690731,0.06,0.0069,10.0,0.306095,9.36,RISK ON,,0.22075833597657082,40.446874244340215,,-0.19123474222657083,60.0,9.245218964226872,9.24031031584426,7.843030864515774,10.82017924006332,9.337694255272003,9.300704138853181,9.245218964226872,9.189733789600565,8.95190594017219,9.638725761716524,BUY,Favorable setup. Scale in on minor intraday pullbacks.,"BUY: Favorable setup. Scale in on minor intraday pullbacks. (Regime: RISK ON, Trend: Uptrend)",0.45298402688908224,Cash (Wait),Buy Zone: $9.07 - $9.26,Sell Zone: $9.65 - $9.93 | Stop @ $8.93,"SCORE 55/100: +10pts: Favorable Macro Regime; +15pts: Undervalued vs Graham ($13.24); -25pts: Yield Trap Warning (Payout > 100%); +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (71.4); -10pts: Forecast suggests structural price erosion; -10pts: Underperforming S&P 500 (RS: -0.27); +-0.0pts: Time-Series Momentum Bullish (ROC_12M=0.0%, GARCH_Vol=22.1%, Vol_Scalar=0.45); 0.0: Close 9.36 already back above SMA5 9.32 — mean-reversion move has already occurred, no fresh entry..
MACD ENV: RISK ON | Ticker: GSBD.
RISK FRAME: Sizing target 45.3% based on win probability models [vol_target_fallback].
OPTIONS HEDGE: OTM Covered Call (delta-15) - Sell 30-day Call at strike $10.00 to capture premium while allowing upside.
CRITICAL WARNINGS: Dividend Sustainability Failure, Cross-sectional rank unavailable for . Score set to 0 (neutral)., Multifactor scores unavailable for . Score set to 0 (neutral).",,0.0,0.64,12.17,13.238126755700748,10000.0,0.020449876620201656,-0.2678645207762288,,,,204.49876620201655,0.0217,-0.0,-0.0226
