Ticker,Price,Sector,Company Name,Market Cap,Target Days,ARIMA Target,Monte Carlo Target,MC Lower 95%,MC Upper 95%,Macro Status,Quality Score,Graham Number,Gordon Fair Value,Div Yield,P/E,Book Value,Dividend Premium Spread,Institutional Velocity,Dividend Payback Horizon,Leverage Distress Factor,Volume,RSI,MACD Line,MACD Signal,ATR,SMA 50,SMA 200,Aroon Up,Aroon Down,Aroon Oscillator,Coppock Curve,Chandelier Exit,Relative Strength,RS Momentum Slope,GARCH Vol,IV Rank,Options IV Edge,VaR 95,Sortino Ratio,Max Drawdown,Beta,Tail Dependency Risk,Edge Ratio,Realized Slippage,Forecast 10 Day,Forecast 30 Day,Forecast 60 Day,Forecast 90 Day,Prophet Lower 30D,Prophet Upper 30D,Action Signal,Advice,Actionable Advice Signal,Kelly Size,Option Strategy,Buy Range,Strategy Notes,Max Favorable Excursion,Max Adverse Excursion,BF Allocation Effect,BF Selection Effect,Portfolio Heat
RITM,9.1942,Real Estate,Rithm Capital Corp.,5133182464.0,90.0,8.808942900142467,8.857674340141557,7.095974057968586,11.030505661949176,RISK ON,70.0,20.85092153539023,11554.13,10.94,8.435045,12.506,0.06689999999999999,-0.0025,6.0,0.2950916666666667,2679471.0,46.77785204373277,-0.0639340849010619,-0.08063525360621783,0.20358194821267744,9.526800060272215,10.209969091415406,80.0,7.9999999999999964,57.14285714285714,0.057667890590478714,8.851722826820644,-0.33793187249370854,0.0101,0.23569500301912383,43.29946034678059,0.1258,-0.022901447636204608,-0.47524647424008915,-0.2730590255803539,1.131,0.0259,0.821427719932834,0.0,9.177422422583687,9.174420789716612,9.17408512400365,9.174073915716802,8.731693894239768,9.60386826632261,STRONG BUY,High-conviction entry. Intrinsic value ($17.51) and trend confirm accumulation.,"STRONG BUY: High-conviction entry. Intrinsic value ($17.51) and trend confirm accumulation. (Regime: RISK ON, Trend: Uptrend)",0.15,Sell to Open Covered Call: Short Call K=9.50 @ $0.14 (Net Premium: $0.14),Buy Zone: $8.88 - $9.09,"SCORE 80/100: +10pts: Favorable Macro Regime; +15pts: Undervalued vs Graham ($17.51); +10pts: Sustainable Dividend; +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (57.1); -10pts: Forecast suggests structural price erosion; -10pts: Underperforming S&P 500 (RS: -0.34); -10pts: Steep Drawdown (-27.3%).
MACD ENV: RISK ON | Ticker: RITM.
RISK FRAME: Sizing target 15.0% based on win probability models.
OPTIONS HEDGE: OTM Covered Call (delta-15) - Sell 30-day Call at strike $10.00 to capture premium while allowing upside.",0.05,-0.05,-0.0,-0.0163,0.0215
AAL,16.125,Industrials,"American Airlines Group, Inc.",10664835072.0,60.0,17.344287016641164,17.824621115800124,11.761672425702496,25.269607086117666,RISK ON,50.0,0.0,0.0,0.0,52.01613,-6.164,-0.0425,0.014,99.0,0.5,146304609.0,69.14572490302574,0.7820294325545554,0.6317091240975325,0.6609488051591543,13.260400066375732,13.171650013923644,96.0,7.9999999999999964,71.42857142857143,21.437754176146754,14.679033179012524,0.2414878412966285,0.1404,0.5440991839811481,71.77762265209465,0.1595,-0.046807524572368475,1.84880467811618,-0.3739237292817777,1.365,0.0639,3.5466664632161455,0.0,16.314363693139015,16.726333022539876,17.344287016641164,17.962241010742456,15.584099822988701,17.56539511867955,BUY,Favorable setup. Scale in on minor intraday pullbacks.,"BUY: Favorable setup. Scale in on minor intraday pullbacks. (Regime: RISK ON, Trend: Uptrend)",0.15,"Sell to Open Put Credit Spread: Short Put K=15.00 @ $0.49, Long Put K=14.00 @ $0.22 (Net Premium: $0.27, Realizable Daily Theta: $-0.0050)",Buy Zone: $15.12 - $15.78,"SCORE 70/100: +10pts: Favorable Macro Regime; -5pts: No Intrinsic Graham Value possible; +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (71.4); +10pts: Strong forecast projection (+3.8%); +10pts: Outperforming S&P 500 (RS: 0.24); -10pts: Steep Drawdown (-37.4%); -20pts: Extreme GARCH Volatility (54.4%) - High Tail Risk.
MACD ENV: RISK ON | Ticker: AAL.
RISK FRAME: Sizing target 15.0% based on win probability models.
OPTIONS HEDGE: OTM Covered Call (delta-20) - Sell 30-day Call at strike $18.00 to capture premium while allowing upside.",0.05,-0.05,0.0,0.0421,0.0215
DIV,19.065,N/A,Global X Super Dividend ETF,0.0,60.0,19.646791198396762,19.727137178442323,18.080613166536576,21.349345654845592,RISK ON,60.0,0.0,1580.9,6.7,13.497204,0.0,0.0245,0.0,3.0,0.5,216063.0,51.734939284386044,-0.05812477166699992,-0.036548311567499714,0.21902877783588673,19.062902641296386,17.893320322036743,19.999999999999996,88.0,-21.42857142857143,-1.7216568038121827,18.85668942010653,-0.08367327284917075,0.0049,0.128998212218914,99.99999999999991,0.0759,-0.009977922344022006,2.3143390319359525,-0.052280469702651905,1.0,0.01,0.5384636174796716,0.0,19.164657948923207,19.396893204717806,19.72025999713215,20.024953661721025,18.922508233683086,19.56387050870961,HOLD,Consolidation pattern. Hold existing exposure; harvest dividends. Do not allocate fresh capital.,"HOLD: Consolidation pattern. Hold existing exposure; harvest dividends. Do not allocate fresh capital. (Regime: RISK ON, Trend: No Uptrend)",0.05,"Sell to Open Call Credit Spread: Short Call K=19.50 @ $0.14, Long Call K=20.00 @ $0.04 (Net Premium: $0.10, Realizable Daily Theta: $-0.0029)",Hold Range: $18.86 - $19.50,"SCORE 45/100: +10pts: Favorable Macro Regime; -5pts: No Intrinsic Graham Value possible; +10pts: Sustainable Dividend; -15pts: MACD Bearish Crossover; -15pts: Choppy Market via Aroon Oscillator (-21.4) - High False Positive Risk; +10pts: Strong forecast projection (+1.7%); -10pts: Underperforming S&P 500 (RS: -0.08); +10pts: High Sortino (2.31).
MACD ENV: RISK ON | Ticker: DIV.
RISK FRAME: Sizing target 5.0% based on win probability models.
OPTIONS HEDGE: Iron Condor / Strangle - Sell credit spreads at $18.00 Put and $20.00 Call to capture volatility.",0.05,-0.05,-0.0,-0.0071,0.0215
BAC,57.855,Financial Services,Bank of America Corporation,410573275136.0,60.0,60.876485253346104,61.087995316763916,51.7089996075322,71.58202946343305,RISK ON,60.0,51.84423420207882,12234.71,1.95,14.356078,38.664,-0.023000000000000003,0.0,15.0,0.5,18052642.0,75.29270172406706,1.5231014533026581,1.1647746672845898,1.173861362786432,52.8459684753418,51.78204524993896,88.0,0.0,71.42857142857143,18.397961170645097,54.47334264783903,0.0405147681360892,0.5841,0.20307884204291096,38.08970790162577,0.1062,-0.022906185440141336,1.734313752273887,-0.17931675908287092,1.196,0.0274,4.6041666654681865,0.0,58.37205570126226,59.373827522703394,60.876485253346104,62.379142983988814,54.69421524536827,58.76044083699327,STRONG BUY,High-conviction entry. Intrinsic value ($59.21) and trend confirm accumulation.,"STRONG BUY: High-conviction entry. Intrinsic value ($59.21) and trend confirm accumulation. (Regime: RISK ON, Trend: Uptrend)",0.15,Sell to Open Covered Call: Short Call K=60.00 @ $0.61 (Net Premium: $0.61),Buy Zone: $56.10 - $57.28,"SCORE 100/100: +10pts: Favorable Macro Regime; +15pts: Undervalued vs Graham ($59.21); +10pts: Sustainable Dividend; +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (71.4); +10pts: Strong forecast projection (+2.6%); +10pts: Outperforming S&P 500 (RS: 0.04); -20pts: RSI > 70 (Overbought).
MACD ENV: RISK ON | Ticker: BAC.
RISK FRAME: Sizing target 15.0% based on win probability models.
OPTIONS HEDGE: OTM Covered Call (delta-15) - Sell 30-day Call at strike $60.00 to capture premium while allowing upside.",0.05,-0.05,-0.0,-0.0232,0.0215
TXNM,57.415,Utilities,"TXNM Energy, Inc.",6356257280.0,90.0,58.27859818637084,58.33113938966412,55.4137180833757,61.344981586497525,RISK ON,65.0,31.487611849741796,8087.06,2.95,40.71986,31.252,-0.013000000000000001,-0.0044,13.0,0.0,705359.0,38.68667738632477,-0.5489930856361838,-0.4566147297911096,0.4663235267059099,58.67093200683594,57.69113422393799,28.000000000000004,88.0,-71.42857142857143,-7.344683687310794,58.290994139895425,-0.1925467245697098,-0.1434,0.09866647497086826,100.0,0.0797,-0.004565497647721739,1.1298387912828587,-0.050941472807935956,0.166,0.0008,0.09712250946813765,0.0,57.508085584582766,57.70071373502979,57.98965596070031,58.27859818637084,57.35434622843181,58.510214467900056,RISK REDUCE,CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges.,"RISK REDUCE: CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges. (Regime: RISK ON, Trend: No Uptrend)",0.0,"Sell to Open Call Credit Spread: Short Call K=58.50 @ $0.31, Long Call K=59.50 @ $0.11 (Net Premium: $0.20, Realizable Daily Theta: $-0.0062)",Trim @ $57.65 | Stop @ $58.29,"SCORE 0/100: +10pts: Favorable Macro Regime; -10pts: Overvalued vs Graham ($31.49); -25pts: Yield Trap Warning (Payout > 100%); -15pts: MACD Bearish Crossover; -15pts: Strong Aroon Oscillator Downtrend (-71.4); +5pts: Moderate positive forecast (+0.5%); -10pts: Underperforming S&P 500 (RS: -0.19).
MACD ENV: RISK ON | Ticker: TXNM.
RISK FRAME: Sizing target 0.0% based on win probability models.
OPTIONS HEDGE: Protective Collar - Purchase protective Put at strike $51.00 financed by selling near-the-money Covered Calls.
CRITICAL WARNINGS: Dividend Sustainability Failure",0.05,-0.05,0.0,-0.011,0.0215
BWMX,17.36,Consumer Cyclical,"Betterware de Mexico, S.A.P.I.",646554496.0,30.0,18.512682480161438,19.105665865553057,14.976289274403126,23.80845800774553,RISK ON,60.0,10.078072812423018,1238.51,6.83,9.383784,2.4400613,0.025799999999999997,-0.0014,3.0,0.0,25768.0,46.61368520404147,0.13234933293583495,0.24486981588462997,0.6847197528027714,17.327607688903807,15.546567192077635,43.99999999999999,4.0000000000000036,-100.0,-0.07663373881850588,17.260577952779382,1.0148960031332288,0.0311,0.35270234743891543,33.198240329491064,0.193,-0.02971585838647367,4.428434423752067,-0.14763383796222676,1.043,0.031,0.2528739034114141,0.0,17.848673061434276,18.907445406793556,20.635136724601388,22.11385896450586,16.58321771644596,18.500076136697096,BUY,Favorable setup. Scale in on minor intraday pullbacks.,"BUY: Favorable setup. Scale in on minor intraday pullbacks. (Regime: RISK ON, Trend: No Uptrend)",0.05,"Buy to Open Put Debit Spread: Long Put K=17.50 @ $0.74, Short Put K=16.50 @ $0.32 (Net Premium: $-0.42)",Buy Zone: $16.49 - $17.36,"SCORE 60/100: +10pts: Favorable Macro Regime; -10pts: Overvalued vs Graham ($10.08); +10pts: Sustainable Dividend; -15pts: MACD Bearish Crossover; -15pts: Strong Aroon Oscillator Downtrend (-100.0); +10pts: Strong forecast projection (+8.9%); +10pts: Outperforming S&P 500 (RS: 1.01); +10pts: High Sortino (4.43).
MACD ENV: RISK ON | Ticker: BWMX.
RISK FRAME: Sizing target 5.0% based on win probability models.
OPTIONS HEDGE: Cash Secured Put - Sell 45-day Put at strike $16.00 (delta-30) to acquire shares at deep discount.",0.05,-0.05,0.0,0.0154,0.0215
XEL,80.01,Utilities,Xcel Energy Inc.,49947807744.0,90.0,84.93007425032177,85.07004213076787,70.03207243824161,101.82519399181803,RISK ON,65.0,54.367650537796834,26601.18,3.01,23.057638,37.859,-0.012400000000000005,-0.0267,13.0,0.0,1828280.0,56.912812422083384,-0.051650364249056224,-0.2692357105454157,1.6551286733126478,78.93388641357421,77.36160621643066,24.0,40.0,71.42857142857143,1.0851964195002861,75.9691267486208,-0.02168565352626231,0.1038,0.23695863630078906,74.01136446254982,0.1372,-0.01707423896180099,1.8390628658732717,-0.11496780322541772,0.408,0.007,1.7398599632286198,0.0,80.45922030545488,81.5769305399388,83.25350239513028,84.93007425032177,75.40823419912601,80.14417617837896,STRONG BUY,High-conviction entry. Intrinsic value ($54.37) and trend confirm accumulation.,"STRONG BUY: High-conviction entry. Intrinsic value ($54.37) and trend confirm accumulation. (Regime: RISK ON, Trend: Uptrend)",0.15,"Sell to Open Put Credit Spread: Short Put K=77.50 @ $1.02, Long Put K=75.00 @ $0.43 (Net Premium: $0.59, Realizable Daily Theta: $-0.0108)",Buy Zone: $76.03 - $80.03,"SCORE 85/100: +10pts: Favorable Macro Regime; -10pts: Overvalued vs Graham ($54.37); +10pts: Sustainable Dividend; +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (71.4); +10pts: Strong forecast projection (+1.9%); -10pts: Underperforming S&P 500 (RS: -0.02).
MACD ENV: RISK ON | Ticker: XEL.
RISK FRAME: Sizing target 15.0% based on win probability models.
OPTIONS HEDGE: OTM Covered Call (delta-20) - Sell 30-day Call at strike $83.00 to capture premium while allowing upside.",0.05,-0.05,0.0,-0.011,0.0215
F,14.04,Consumer Cyclical,Ford Motor Company,55945084928.0,30.0,14.514821138708532,14.542233893585022,11.691127648569324,17.758245898679093,RISK ON,60.0,0.0,6862.05,4.25,0.0,9.399,0.0,0.0,3.0,0.0,52123512.0,46.44232740761323,0.08375390173905117,0.3286904235517702,0.6214141801671134,13.606911163330079,12.7870028924942,36.0,7.9999999999999964,-85.71428571428572,-19.983605027269732,15.97489606118581,0.13591126876856632,-0.1667,0.4622557968810702,46.080973621893634,0.3258,-0.028773344692252234,1.9142810950131743,-0.22314623961024185,1.798,0.0517,0.24691380312467748,0.0,14.175136370621274,14.571192905262777,15.074202334061898,15.59226933236386,15.560906408165156,17.30803121014825,HOLD,Consolidation pattern. Hold existing exposure; harvest dividends. Do not allocate fresh capital.,"HOLD: Consolidation pattern. Hold existing exposure; harvest dividends. Do not allocate fresh capital. (Regime: RISK ON, Trend: No Uptrend)",0.05,"Buy to Open Put Debit Spread: Long Put K=14.00 @ $0.69, Short Put K=13.50 @ $0.47 (Net Premium: $-0.23)",Hold Range: $15.97 - $15.30,"SCORE 35/100: +10pts: Favorable Macro Regime; -5pts: No Intrinsic Graham Value possible; +10pts: Sustainable Dividend; -15pts: MACD Bearish Crossover; -15pts: Strong Aroon Oscillator Downtrend (-85.7); +10pts: Strong forecast projection (+3.6%); +10pts: Outperforming S&P 500 (RS: 0.14); -20pts: Extreme GARCH Volatility (46.2%) - High Tail Risk.
MACD ENV: RISK ON | Ticker: F.
RISK FRAME: Sizing target 5.0% based on win probability models.
OPTIONS HEDGE: Iron Condor / Strangle - Sell credit spreads at $12.00 Put and $16.00 Call to capture volatility.",0.05,-0.05,0.0,0.0154,0.0215
MFA,9.395,Real Estate,"MFA Financial, Inc.",959171904.0,90.0,9.826116920362546,9.804046189611334,7.770278655782968,12.020056650567236,RISK ON,70.0,22.16981163654757,2485.63,15.38,10.676137,17.512,0.11130000000000001,-0.0145,7.0,0.0,926504.0,48.10119902002808,-0.05983204092077621,-0.08886036096152573,0.18915693497466649,9.685700035095216,9.217602858543398,36.0,60.0,50.0,-1.151335096282948,9.099490278267824,-0.09168813697605094,0.0023,0.233309665118443,49.26733006851004,0.0921,-0.021848696301898396,1.0351745172802234,-0.1222329562847273,1.505,0.0329,0.41666490060611194,0.0,9.44274363572596,9.537754391306432,9.680270524677137,9.822786658047844,8.851317504784214,9.447413715250796,STRONG BUY,High-conviction entry. Intrinsic value ($18.62) and trend confirm accumulation.,"STRONG BUY: High-conviction entry. Intrinsic value ($18.62) and trend confirm accumulation. (Regime: RISK ON, Trend: Uptrend)",0.15,Cash (Wait),Buy Zone: $9.11 - $9.30,"SCORE 75/100: +10pts: Favorable Macro Regime; +15pts: Undervalued vs Graham ($18.62); -25pts: Yield Trap Warning (Payout > 100%); +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (50.0); +10pts: Strong forecast projection (+1.5%); -10pts: Underperforming S&P 500 (RS: -0.09).
MACD ENV: RISK ON | Ticker: MFA.
RISK FRAME: Sizing target 15.0% based on win probability models.
OPTIONS HEDGE: OTM Covered Call (delta-15) - Sell 30-day Call at strike $10.00 to capture premium while allowing upside.
CRITICAL WARNINGS: Dividend Sustainability Failure",0.05,-0.05,-0.0,-0.0163,0.0215
ABR,5.105,Real Estate,Arbor Realty Trust,1064552896.0,90.0,3.638529890382846,4.137125258512659,2.680598785687783,5.967635258324666,RISK ON,70.0,12.178092523051383,1707.11,21.15,12.7625,11.625,0.16899999999999998,0.0,5.0,0.361215,1643118.0,34.83502952326163,-0.3200230311209884,-0.3677959022240398,0.23675603960744812,6.362330179214478,7.945951082706451,4.0000000000000036,88.0,-57.14285714285714,-13.189812761961651,5.043185900169873,-0.6828412864979199,-0.0305,0.3952821722514765,37.10051872949304,0.3231,-0.04055614478478542,-1.4937728973389397,-0.5517663590073192,1.114,0.0452,0.5813949362147584,0.0,4.9410314276163385,4.613094246531816,4.121188474905031,3.629282703278246,3.4274417370346906,4.631763181653992,RISK REDUCE,CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges.,"RISK REDUCE: CRITICAL RISK. Structural deterioration or macro headwinds. Trim position or deploy hedges. (Regime: RISK ON, Trend: No Uptrend)",0.0,"Buy to Open Put Debit Spread: Long Put K=5.00 @ $0.17, Short Put K=5.00 @ $0.17 (Net Premium: $-0.00)",Trim @ $5.22 | Stop @ $5.04,"SCORE 15/100: +10pts: Favorable Macro Regime; +15pts: Undervalued vs Graham ($10.23); -25pts: Yield Trap Warning (Payout > 100%); +10pts: MACD Bullish; -15pts: Strong Aroon Oscillator Downtrend (-57.1); -10pts: Forecast suggests structural price erosion; -10pts: Underperforming S&P 500 (RS: -0.68); -10pts: Steep Drawdown (-55.2%).
MACD ENV: RISK ON | Ticker: ABR.
RISK FRAME: Sizing target 0.0% based on win probability models.
OPTIONS HEDGE: Defensive Covered Call - Sell near-the-money 15-day Call at strike $5.00 to buffer downward capital drag.
CRITICAL WARNINGS: Dividend Sustainability Failure",0.05,-0.05,-0.0,-0.0163,0.0215
DX,12.92,Real Estate,"Dynex Capital, Inc.",2779749888.0,90.0,14.258077914141424,14.084476921551246,11.843675440279078,16.601802578889142,RISK ON,75.0,29.206637704467116,4820.68,15.89,6.09434,12.616,0.1164,0.0084,6.0,0.0,2758452.0,53.715911434177954,0.022968250660772682,-0.0010907654844902776,0.21026187466784016,12.89958038330078,12.507515649795533,84.0,12.0,42.85714285714286,1.6347375692616442,12.49748253216278,0.020913540280833726,0.0234,0.1758417627308185,37.19985369501572,0.0813,-0.01577930359127655,2.1013105815041766,-0.1526751411832709,0.931,0.0147,2.8125016947283883,0.0,12.955958706583107,13.009274486042985,13.074054350468034,13.12427126337925,12.712922103993993,13.408943843306403,BUY,Favorable setup. Scale in on minor intraday pullbacks.,"BUY: Favorable setup. Scale in on minor intraday pullbacks. (Regime: RISK ON, Trend: No Uptrend)",0.05,Sell to Open Covered Call: Short Call K=13.50 @ $0.08 (Net Premium: $0.08),Buy Zone: $12.61 - $12.82,"SCORE 70/100: +10pts: Favorable Macro Regime; +15pts: Undervalued vs Graham ($24.53); -25pts: Yield Trap Warning (Payout > 100%); +10pts: MACD Bullish; -15pts: Choppy Market via Aroon Oscillator (42.9) - High False Positive Risk; +5pts: Moderate positive forecast (+0.6%); +10pts: Outperforming S&P 500 (RS: 0.02); +10pts: High Sortino (2.10).
MACD ENV: RISK ON | Ticker: DX.
RISK FRAME: Sizing target 5.0% based on win probability models.
OPTIONS HEDGE: Cash Secured Put - Sell 45-day Put at strike $12.00 (delta-30) to acquire shares at deep discount.
CRITICAL WARNINGS: Dividend Sustainability Failure",0.05,-0.05,-0.0,-0.0163,0.0215
AM,22.125,Energy,Antero Midstream Corporation,10508932096.0,60.0,23.37283183121493,23.29702406713107,19.607687150513396,27.24172666245737,RISK ON,65.0,8.880912115317885,607.7,4.12,25.726744,4.076,-0.0013000000000000025,-0.0004,7.0,0.0,872239.0,60.04651292857043,0.0561321393189651,-0.021778289471271486,0.44614014001314767,21.455985374450684,19.612447023391724,12.0,40.0,100.0,3.31356878152837,20.88035114954034,0.027423397065763827,0.0671,0.18983164402368333,29.788008894220653,0.111,-0.019875561268435205,1.9870607867591312,-0.12669491189785792,0.628,0.0125,2.777787785507277,0.0,22.365801602853438,22.80305860826636,23.389549604936178,23.984480287036213,20.106250805060515,21.561598512847503,BUY,Favorable setup. Scale in on minor intraday pullbacks.,"BUY: Favorable setup. Scale in on minor intraday pullbacks. (Regime: RISK ON, Trend: Uptrend)",0.15,"Buy to Open Call Debit Spread: Long Call K=22.00 @ $0.59, Short Call K=23.00 @ $0.19 (Net Premium: $-0.40)",Buy Zone: $21.02 - $22.13,"SCORE 70/100: +10pts: Favorable Macro Regime; -10pts: Overvalued vs Graham ($8.88); -25pts: Yield Trap Warning (Payout > 100%); +10pts: MACD Bullish; +15pts: Strong Aroon Oscillator Uptrend (100.0); +10pts: Strong forecast projection (+3.0%); +10pts: Outperforming S&P 500 (RS: 0.03).
MACD ENV: RISK ON | Ticker: AM.
RISK FRAME: Sizing target 15.0% based on win probability models.
OPTIONS HEDGE: OTM Covered Call (delta-20) - Sell 30-day Call at strike $23.00 to capture premium while allowing upside.
CRITICAL WARNINGS: Dividend Sustainability Failure",0.05,-0.05,0.0,0.0052,0.0215
