Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,Month,Year
4/30/2025,4/30/2025,4/30/2025,MFA,Cash Div: R/D 2025-03-31 P/D 2025-04-30 - 64 shares at 0.36,CDIV,,,$23.04,4,2025
4/30/2025,4/30/2025,4/30/2025,RITM,Cash Div: R/D 2025-03-31 P/D 2025-04-30 - 205 shares at 0.25,CDIV,,,$51.25,4,2025
4/30/2025,4/30/2025,4/30/2025,,Interest Payment,INT,,,$13.82,4,2025
4/29/2025,4/29/2025,4/29/2025,ARR,Cash Div: R/D 2025-04-15 P/D 2025-04-29 - 132 shares at 0.24,CDIV,,,$31.68,4,2025
4/29/2025,4/29/2025,4/29/2025,TWO,Cash Div: R/D 2025-04-04 P/D 2025-04-29 - 50.25 shares at 0.45,CDIV,,,$22.61,4,2025
4/29/2025,4/29/2025,4/30/2025,CGBD,"Carlyle Secured Lending
 CUSIP: 872280102",Buy,5,$14.90,-$74.50,4,2025
4/28/2025,4/28/2025,4/29/2025,DX,"Dynex Capital
 CUSIP: 26817Q886",Buy,5,$12.45,-$62.25,4,2025
4/28/2025,4/28/2025,4/29/2025,ARR,"ARMOUR Residential REIT
 CUSIP: 042315705",Buy,5,$16.36,-$81.78,4,2025
4/25/2025,4/25/2025,4/25/2025,IVR,Cash Div: R/D 2025-04-07 P/D 2025-04-25 - 115 shares at 0.34,CDIV,,,$39.10,4,2025
4/25/2025,4/25/2025,4/25/2025,,Transfer from Spending to Brokerage,XENT,,,$300.00,4,2025
4/21/2025,4/21/2025,4/21/2025,,Gold Subscription Fee,GOLD,,,-$5.00,4,2025
4/17/2025,4/17/2025,4/17/2025,CMCL,Cash Div: R/D 2025-04-04 P/D 2025-04-17 - 17 shares at 0.14,CDIV,,,$2.38,4,2025
4/17/2025,4/17/2025,4/17/2025,PSEC,Cash Div: R/D 2025-03-27 P/D 2025-04-17 - 375 shares at 0.045,CDIV,,,$16.88,4,2025
4/16/2025,4/16/2025,4/16/2025,,Instant bank transfer - account ending in 6387,RTP,,,$200.00,4,2025
4/16/2025,4/16/2025,4/17/2025,,ACH Deposit,ACH,,,$500.00,4,2025
4/16/2025,4/16/2025,4/16/2025,,Transfer from Spending to Brokerage,XENT,,,$300.00,4,2025
4/15/2025,4/15/2025,4/15/2025,PK,Cash Div: R/D 2025-03-31 P/D 2025-04-15 - 53 shares at 0.25,CDIV,,,$13.25,4,2025
4/15/2025,4/15/2025,4/15/2025,AQN,Cash Div: R/D 2025-03-31 P/D 2025-04-15 - 35 shares at 0.065,CDIV,,,$2.28,4,2025
4/15/2025,4/15/2025,4/15/2025,AQN,Foreign Tax Witholding at $0.34,DTAX,,,-$0.34,4,2025
4/15/2025,4/15/2025,4/15/2025,DEI,Cash Div: R/D 2025-03-31 P/D 2025-04-15 - 18 shares at 0.19,CDIV,,,$3.42,4,2025
4/10/2025,4/10/2025,4/10/2025,MPW,Cash Div: R/D 2025-03-10 P/D 2025-04-10 - 50 shares at 0.08,CDIV,,,$4.00,4,2025
4/10/2025,4/10/2025,4/10/2025,SDIV,Cash Div: R/D 2025-04-03 P/D 2025-04-10 - 80 shares at 0.195,CDIV,,,$15.60,4,2025
4/10/2025,4/10/2025,4/10/2025,SRET,Cash Div: R/D 2025-04-03 P/D 2025-04-10 - 41.666667 shares at 0.144,CDIV,,,$6.00,4,2025
4/10/2025,4/10/2025,4/10/2025,DIV,Cash Div: R/D 2025-04-03 P/D 2025-04-10 - 82 shares at 0.106,CDIV,,,$8.69,4,2025
4/9/2025,4/9/2025,4/9/2025,AGNC,Cash Div: R/D 2025-03-31 P/D 2025-04-09 - 288.926754 shares at 0.12,CDIV,,,$34.67,4,2025
